,
,
Problems Found (if any) ,Advice/ solution given
Flowers & Fruits on brinjal are falling off.,Use Solubor Boron @ 30gm/machine in 7-10 days interval for 2/3 times
Flowers & Fruits on brinjal are falling off.,Use Solubor Boron @ 30gm/machine in 7-10 days interval for 2/3 times
Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.
Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.
Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.
Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.
Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.
Wanted to know about year round vegetables production technology,Detailed information and production technology for climate-resillient year-round vegetable are discussed.
Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval)
Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval)
Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval)
"Wood Apple tree does not bear fruit for a long time, the tree is seven to eight years old.","It is recommended that the weeds be cleaned and Urea, TSP, MOP, and Boron fertilizers be applied. The branches should also be pruned."
Fruit Fly infestation in Bottle gourd & Sweet Gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land
Fruit Fly infestation in Bottle gourd & Sweet Gourd,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land
"Sponge gourd, bitter gourd, Cucumber is producing less fruit, there are many flowers but they are falling off.","Hand pollination, pruning, and spraying of Solubor boron are recommended."
"Sponge gourd, bitter gourd, Cucumber is producing less fruit, there are many flowers but they are falling off.","Hand pollination, pruning, and spraying of Solubor boron are recommended."
"Sponge gourd, bitter gourd, Cucumber is producing less fruit, there are many flowers but they are falling off.","Hand pollination, pruning, and spraying of Solubor boron are recommended."
Brinjal Shoot and fruit borer,"Lambdasyhalothrin @2ml/L (1+7+14 days interval), Weeding should be done regularly."
Leaf Curl virus in Bitter Gourd,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval)
Leaf Curl virus in Bitter Gourd,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval)
Leaf Curl virus in Bitter Gourd,Imidachloprid+ Cypermethrin @ 2ml/L (1+7+14 days interval)
Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval)
Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval)
Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval)
Downi Mildew Of Bitter Gourd,Carbendazim+ Mancozeb/ Mancozeb+ Metalexile 72% @2gm/L( 1+7+14 days interval)
Fruit Fly infestation in Bottle gourd ,Recommend Pheromone trap& Yellow sticky trap @ 2pcs/ 4 decimal land
